H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
1330.0,1800.0,1800.0,1091.0,1293.0,100.0,1181.0,100.0
943.0,1018.0,1800.0,1198.0,919.0,100.0,1588.0,100.0
562.0,100.0,1800.0,1133.0,1800.0,100.0,1800.0,100.0
938.0,689.0,1680.0,1316.0,824.0,100.0,1800.0,100.0
1097.0,847.0,1213.0,1800.0,1800.0,100.0,1766.0,100.0
527.0,100.0,1800.0,1800.0,1551.0,100.0,1800.0,100.0
1491.0,1276.0,1800.0,492.0,688.0,100.0,368.0,100.0
1549.0,1800.0,1800.0,1214.0,1049.0,100.0,1800.0,100.0
1364.0,1800.0,989.0,100.0,1800.0,100.0,1800.0,1027.0
609.0,879.0,189.0,100.0,1800.0,100.0,168.0,100.0
1061.0,854.0,1800.0,972.0,274.0,100.0,660.0,100.0
1060.0,1800.0,1465.0,1311.0,1800.0,100.0,1003.0,100.0
570.0,504.0,1800.0,1452.0,100.0,100.0,1627.0,100.0
1168.0,543.0,1800.0,1776.0,341.0,100.0,1800.0,100.0
1800.0,1217.0,1800.0,1012.0,1326.0,100.0,1800.0,100.0
1591.0,979.0,438.0,1800.0,1692.0,100.0,1800.0,350.0
1571.0,1741.0,100.0,1552.0,1800.0,100.0,1722.0,526.0
971.0,846.0,100.0,381.0,100.0,100.0,1800.0,100.0
1372.0,1699.0,1361.0,646.0,904.0,100.0,637.0,100.0
1412.0,100.0,1800.0,696.0,512.0,100.0,1548.0,100.0
1539.0,1719.0,1705.0,897.0,1511.0,100.0,584.0,100.0
1766.0,1800.0,1800.0,297.0,1478.0,100.0,645.0,100.0
1606.0,1800.0,1635.0,229.0,1743.0,100.0,1800.0,100.0
1143.0,1800.0,557.0,322.0,1354.0,100.0,482.0,100.0
465.0,651.0,1800.0,1334.0,1449.0,100.0,100.0,100.0
913.0,1363.0,1800.0,615.0,1800.0,100.0,100.0,567.0
649.0,100.0,1800.0,1736.0,382.0,100.0,1800.0,100.0
1529.0,1800.0,1800.0,226.0,666.0,100.0,1800.0,100.0
1464.0,1800.0,1328.0,655.0,1800.0,100.0,1276.0,623.0
1800.0,1537.0,1469.0,923.0,1800.0,100.0,1692.0,100.0
1204.0,1615.0,100.0,1472.0,100.0,100.0,1800.0,1800.0
1195.0,1731.0,100.0,100.0,411.0,100.0,1117.0,100.0
1212.0,1427.0,1800.0,1800.0,100.0,100.0,327.0,100.0
967.0,338.0,1800.0,1800.0,653.0,100.0,1647.0,100.0
