H10E_1,H10E_2,H10E_3,H10W_1,H10W_2,H10W_3,H15N_1,H15N_2,H15N_3,H15N_4,H15S_1,H15S_2,H15S_3,H15S_4,H20E_1,H20E_2,H20W_1,H20W_2,H25N_1,H25N_2,H25N_3,H25N_4,H25S_1,H25S_2,H25S_3,H25S_4
3.2449999999999997,4.365,5.3374999999999995,2.09,3.105,16.7925,5.987500000000001,6.9825,5.4975000000000005,6.46,3.55,4.1975,3.8625000000000003,4.535,3.525,3.7350000000000003,3.1875,3.33,5.902500000000001,15.465,5.2299999999999995,5.552499999999999,2.3200000000000003,3.3425000000000002,4.5225,9.4625
3.8125,4.944999999999999,5.83,1.9975,2.765,16.4475,6.112499999999999,7.18,5.285,6.3775,3.7275,4.205,4.2075,5.88,3.355,3.735,3.565,3.895,6.1,17.325,3.9050000000000002,5.197500000000001,1.975,2.7349999999999994,3.6025000000000005,5.535
4.262499999999999,5.197500000000001,6.0,1.8575,2.4625,11.444999999999999,6.109999999999999,6.6925,5.195,6.67,3.6975000000000002,4.5975,4.7375,5.525,3.8599999999999994,4.255,3.1975000000000002,3.835,5.8925,23.445,3.935,4.535,1.7925000000000002,2.6350000000000002,3.5700000000000003,3.9399999999999995
4.0625,5.2175,5.8475,1.68,2.52,11.0625,5.8825,6.922499999999999,5.2125,8.01,3.32,4.61,4.53,5.6325,4.235,4.085,4.0975,4.08,5.8275,20.5675,3.925,4.9975000000000005,2.2525,2.8275,3.7149999999999994,4.1375
4.355,5.1,6.095000000000001,2.3075,2.835,9.667499999999999,5.9825,7.1825,5.3425,9.352500000000001,3.1425,3.8175,3.5900000000000003,5.449999999999999,4.7,4.465,2.7524999999999995,3.8874999999999997,5.58,26.385,4.105,4.015,2.8275,3.0999999999999996,4.5,4.6025
3.4325,4.5775,5.777500000000001,2.8474999999999997,3.415,10.315,6.1925,7.319999999999999,4.76,16.495,2.9375,3.6875000000000004,3.24,4.7275,4.5649999999999995,4.555,3.3124999999999996,4.177499999999999,5.577500000000001,22.627499999999998,4.8075,7.157500000000001,2.88,3.3674999999999997,4.5225,5.4925
3.025,4.22,4.67,2.8449999999999998,3.75,12.78,6.0600000000000005,6.5225,4.4475,12.870000000000001,3.5025,3.7925,4.0024999999999995,4.1475,3.9475000000000002,4.12,3.0024999999999995,3.705,5.7175,27.360000000000003,4.3125,11.5875,3.0149999999999997,3.43,4.234999999999999,5.68
3.62,4.7175,5.345000000000001,2.77,3.9699999999999998,16.6975,5.775,6.25,4.705,13.1675,3.7150000000000003,4.5575,4.3825,5.5475,3.52,3.435,3.55,4.195,5.675,19.277500000000003,5.8225,15.010000000000002,2.0125,2.86,4.08,7.8725
4.095,4.8725000000000005,6.3725000000000005,2.0774999999999997,2.4975,20.685000000000002,5.86,6.075,4.47,11.102500000000001,3.9274999999999998,4.3025,4.6475,6.197500000000001,2.955,2.9875,2.95,3.7775,5.8875,18.862499999999997,4.3875,15.085,2.155,2.5324999999999998,3.2050000000000005,3.9225
4.0875,5.397500000000001,6.074999999999999,1.7225,2.5300000000000002,15.562499999999998,5.97,6.385,4.79,9.915000000000001,3.2025,3.7975,4.1274999999999995,5.705,3.3924999999999996,3.5075000000000003,3.3449999999999998,4.09,5.6575,20.395,4.075,17.87,2.2275,2.8125,3.2975,3.7299999999999995
4.01,4.6275,6.250000000000001,1.8449999999999998,2.5100000000000002,15.495000000000001,5.857500000000001,5.6225000000000005,4.992500000000001,10.715,3.3675,3.35,3.3225,4.225,3.744999999999999,3.6475,3.8275,4.1925,5.895,19.77,3.8525,12.382499999999999,2.7925,3.2325,3.7725000000000004,4.5375
3.0,3.7800000000000002,5.4425,1.9200000000000002,2.145,10.7725,6.2325,6.7625,5.3100000000000005,10.6225,3.2125000000000004,3.5575,3.74,4.34,3.9675,4.3725000000000005,3.7175,4.0625,5.654999999999999,22.4125,4.085,8.6075,2.4600000000000004,3.2825,4.665,5.545000000000001
3.2399999999999993,3.795,4.8575,1.3750000000000002,1.8399999999999999,7.4075,5.955,7.225,5.1975,11.187500000000002,3.48,3.8425,3.2,4.48,4.3100000000000005,4.1075,3.795,3.945,5.705,19.84,3.5825,5.37,2.9775,3.2075,4.645,4.98
3.3225,4.055,4.575,3.1325,3.4025,3.52,5.654999999999999,7.7,5.16,12.3825,3.6999999999999997,4.71,4.6275,5.4375,3.96,4.4425,3.865,4.510000000000001,5.374999999999999,17.555000000000003,3.875,4.4825,1.9249999999999998,2.8200000000000003,3.7725,4.875
4.17,5.175000000000001,5.6,2.8850000000000002,3.3175,4.95,6.2475000000000005,7.065,4.444999999999999,15.867500000000001,3.7725,4.362500000000001,4.5649999999999995,5.97,4.1625,4.279999999999999,2.7925000000000004,3.38,5.47,13.63,4.557499999999999,5.3525,2.0675,2.4475,3.5925000000000002,4.4
4.277500000000001,5.4375,6.3100000000000005,2.8875,3.7825,8.94,5.745,7.202500000000001,3.695,8.8875,3.08,3.8425000000000002,3.885,5.8075,3.7800000000000002,4.26,2.685,2.7450000000000006,6.1899999999999995,12.755,5.234999999999999,7.4175,2.3725000000000005,3.1475,3.625,4.0525
3.8025,4.595000000000001,5.3825,2.105,2.85,14.01,5.995,6.2725,3.9475,5.8925,3.1624999999999996,3.885,3.205,4.24,4.08,4.345,2.9325,2.94,5.2,13.5925,4.9475,15.28,2.8000000000000003,3.59,4.605,5.575
3.085,3.7824999999999998,4.5575,1.6300000000000001,2.0999999999999996,6.0874999999999995,5.949999999999999,6.75,4.695,5.47,3.31,3.5625,3.535,4.065,3.74,4.04,3.105,3.6374999999999997,5.3625,13.237499999999999,4.005,13.809999999999999,2.5324999999999998,3.2325,4.655,6.1125
3.13,3.55,4.92,3.66,3.6375,3.9449999999999994,5.9825,6.470000000000001,5.1425,5.757499999999999,3.705,4.8,4.2124999999999995,5.257499999999999,3.92,4.1025,3.6300000000000003,4.2475000000000005,5.654999999999999,11.32,3.5874999999999995,11.0375,2.1925,3.095,3.9875,6.67
4.075,4.2675,5.195,4.585,5.647499999999999,11.392500000000002,6.0424999999999995,6.5,5.1425,9.33,3.8324999999999996,4.6575,4.8925,6.31,4.2125,4.0675,3.6799999999999997,4.2825,5.475,8.27,3.76,4.475,2.0975,2.7375,3.5649999999999995,4.0775
